Id,Company,Bean Origin,Review Date,Cocoa Percent,Company Location,Rating (Out of 10)
389,Chocolarder,Peru + nibs,2015.0,65%,U.K.,4.9375
390,Chocolarder,Dominican Republic,2015.0,80%,U.K.,4.375
391,Chocola'te,Madagascar,2011.0,70%,U.S.A.,7.1875
392,Chocola'te,Venezuela,2011.0,68%,U.S.A.,7.1875
393,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",2016.0,90%,U.S.A.,4.375
394,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",2016.0,80%,U.S.A.,4.375
395,Chocolate Con Amor,Wild Bolivian,2016.0,70%,U.S.A.,4.375
396,Chocolate Con Amor,Uganda,2016.0,70%,U.S.A.,4.9375
397,Chocolate Con Amor,Dominican Republic,2016.0,60%,U.S.A.,5.5
398,Chocolate Con Amor,Dominican Republic,2016.0,75%,U.S.A.,5.5
399,Chocolate Con Amor,Ocumare,2016.0,80%,U.S.A.,5.5
400,Chocolate Con Amor,Ecuador,2016.0,70%,U.S.A.,6.0625
401,Chocolate Con Amor,Nicaragua,2016.0,80%,U.S.A.,4.9375
402,Chocolate Conspiracy,Peru,2014.0,74%,U.S.A.,4.9375
403,Chocolate Makers,Tres Hombres,2015.0,75%,Amsterdam,6.0625
404,Chocolate Makers,"Congo, Gorilla bar",2015.0,68%,Amsterdam,6.625
405,Chocolate Makers,"Peru, Awagum bar",2015.0,80%,Amsterdam,7.1875
406,"Chocolate Tree, The",Maranon,2015.0,69%,Scotland,7.1875
407,"Chocolate Tree, The",Carenero Superior,2015.0,80%,Scotland,7.1875
408,"Chocolate Tree, The",Peru,2013.0,70%,Scotland,7.1875
409,"Chocolate Tree, The",Ecuador,2012.0,82%,Scotland,4.375
410,"Chocolate Tree, The",Peru,2012.0,68%,Scotland,4.9375
411,"Chocolate Tree, The",Madagascar,2012.0,72%,Scotland,6.0625
412,Chocolats Privilege,Xoconusco,2014.0,70%,Canada,4.375
413,ChocoReko,Patanemo,2015.0,77%,Japan,5.5
414,Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2011.0,65%,Canada,6.0625
415,Chocovic,Xoconusco,2010.0,71%,Spain,6.0625
416,Chocovic,Sambirano,2010.0,71%,Spain,6.625
417,Chocovic,Kendari,2009.0,60%,Spain,6.0625
418,Chocovic,Tarakan,2009.0,75%,Spain,6.0625
419,Chocovic,Ocumare,2008.0,71%,Spain,6.625
420,Chocovic,"Bolivar, Guaranda",2007.0,71%,Spain,4.375
421,Chocovic,Guyave,2007.0,71%,Spain,4.375
422,Chocovic,Maragda,2007.0,70%,Spain,5.5
423,Chocovivo,Tabasco,2015.0,65%,U.S.A.,4.375
424,Chocovivo,Tabasco,2015.0,75%,U.S.A.,4.375
425,Choklat,Ocumare,2009.0,80%,Canada,4.375
426,Choklat,"Porcelana, Tabasco",2009.0,70%,Canada,4.9375
427,Choklat,Brazilian,2009.0,70%,Canada,5.5
428,Choklat,Brazilian,2009.0,80%,Canada,5.5
429,Choklat,Ocumare,2009.0,70%,Canada,5.5
430,Chokolat Elot (Girard),Guadeloupe,2013.0,42%,Martinique,4.9375
431,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2016.0,75%,Canada,6.0625
432,Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",2011.0,68%,Canada,7.1875
433,Chuao Chocolatier,Choroni,2009.0,61%,U.S.A.,5.5
434,Chuao Chocolatier (Pralus),Chuao,2010.0,77%,U.S.A.,4.9375
435,Claudio Corallo,Terreiro Velho P.,2010.0,73.50%,Sao Tome,7.1875
436,Claudio Corallo,Terreiro Velho P. w/ sugar crystals,2008.0,80%,Sao Tome,5.5
437,Claudio Corallo,Terreiro Velho P.,2008.0,75%,Sao Tome,7.75
438,Claudio Corallo,Principe,2008.0,100%,Sao Tome,1.0
439,Cloudforest,"Camino Verde P., Balao, Guayas, 2014",2015.0,73%,U.S.A.,6.625
440,Coleman & Davis,Sambirano,2015.0,75%,U.S.A.,5.5
441,Compania de Chocolate (Salgado),Sur del Lago,2010.0,70%,Argentina,6.0625
442,Compania de Chocolate (Salgado),Carenero Superior,2008.0,80%,Argentina,4.9375
443,Compania de Chocolate (Salgado),Moxos,2008.0,72%,Argentina,6.0625
444,Compania de Chocolate (Salgado),Ocumare,2008.0,70%,Argentina,7.1875
445,Compania de Chocolate (Salgado),Esmeraldas,2008.0,88%,Argentina,4.9375
446,Condor,Camino Verde,2015.0,76%,U.S.A.,6.625
447,Confluence,"Tien Giang, 2015, batch 10-2-16",2016.0,78%,U.S.A.,4.9375
448,Coppeneur,"Ecuador, Puristique",2013.0,65%,Germany,6.0625
449,Coppeneur,Ghana Puristique,2012.0,85%,Germany,6.625
450,Coppeneur,Ecuador Puristique,2012.0,100%,Germany,2.125
451,Coppeneur,Uba Budo,2012.0,72%,Germany,7.1875
452,Coppeneur,Madagascar,2012.0,70%,Germany,6.625
453,Coppeneur,Grenada,2010.0,72%,Germany,6.0625
454,Coppeneur,Chuao,2010.0,70%,Germany,5.5
455,Coppeneur,"Los Rios, H. Iara",2010.0,72%,Germany,4.375
456,Coppeneur,Trinidad,2010.0,72%,Germany,5.5
457,Coppeneur,Jamaica,2010.0,72%,Germany,6.0625
458,Coppeneur,Ocumare 61,2010.0,72%,Germany,6.0625
459,Coppeneur,"Porcelana, Apotequil",2009.0,72%,Germany,5.5
460,Coppeneur,"Porcelana, Apotequil",2009.0,62%,Germany,6.0625
461,Coppeneur,Chuao 100hr,2009.0,70%,Germany,6.625
462,Coppeneur,Chuao 70hr,2009.0,70%,Germany,7.1875
463,Coppeneur,"Porcelana, Tabasco, Mexico",2008.0,72%,Germany,5.5
464,Coppeneur,"Porcelana, Venezuela",2008.0,72%,Germany,5.5
465,Coppeneur,"Sambirano, Menava P.",2007.0,72%,Germany,5.5
466,Cote d' Or (Kraft),Sensations Intense,2006.0,70%,Belgium,1.0
467,Cravve,New Ireland,2014.0,70%,Australia,4.375
468,Cravve,"Vanuatu, batch 2410",2014.0,83%,Australia,4.9375
469,Cravve,"Tanzania, batch a1",2012.0,75%,Australia,6.0625
470,Cravve,"Bahia, batch a1213",2012.0,65%,Australia,6.0625
471,Cravve,"Namau Village, N. Taileva P., batch a2812",2012.0,67%,Australia,6.0625
472,Cravve,Vanuatu,2012.0,64%,Australia,6.0625
473,Cravve,Djual Island,2012.0,75%,Australia,6.625
474,Creo,"""heirloom"", Arriba Nacional",2016.0,85%,U.S.A.,6.0625
475,Creo,"""heirloom"", Arriba Nacional",2016.0,73%,U.S.A.,7.1875
476,Daintree,Goodman Estate,2015.0,70%,Australia,4.9375
477,Daintree,"Daintree Estates, N. Queensland",2011.0,70%,Australia,6.0625
478,Dalloway,"Dominican Republic, batch 7",2017.0,72%,U.S.A.,4.9375
479,Damson,Robson Estate,2015.0,70%,U.K.,5.5
480,Damson,Los Rios,2015.0,70%,U.K.,6.625
481,Damson,Crayfish Bay aka Non Pariel Estate,2015.0,70%,U.K.,3.8125
482,Damson,O'Payo,2015.0,70%,U.K.,4.9375
483,Dandelion,"Zorzal Reserva, 2015 H., Kerchner",2016.0,70%,U.S.A.,7.1875
484,Dandelion,"Maya Mtn., Break Bar- Snark",2015.0,70%,U.S.A.,5.5
485,Dandelion,Maya Mountain,2014.0,70%,U.S.A.,6.625
486,Dandelion,"Camino Verde P., Balao, Guayas, 2013",2014.0,70%,U.S.A.,6.625
487,Dandelion,Buto,2014.0,70%,U.S.A.,4.9375
488,Dandelion,"San Francisco de Macoris, Cibao region",2014.0,70%,U.S.A.,7.1875
489,Dandelion,"Cumboto, farmer Jose Lugo",2013.0,70%,U.S.A.,4.9375
490,Dandelion,Patanemo,2013.0,70%,U.S.A.,6.0625
491,Dandelion,"Mantuano, 2012",2013.0,70%,U.S.A.,6.625
492,Dandelion,Papua New Guinea,2013.0,70%,U.S.A.,6.625
493,Dandelion,Upala,2012.0,70%,U.S.A.,5.5
494,Dandelion,Colombian,2012.0,70%,U.S.A.,6.0625
495,Dandelion,"Elvesia, 2011",2012.0,70%,U.S.A.,7.1875
496,Dandelion,Dominican Republic,2011.0,70%,U.S.A.,6.0625
497,Dandelion,Madagascar,2011.0,70%,U.S.A.,6.0625
498,Dandelion,Tanzania,2011.0,70%,U.S.A.,6.0625
499,Danta,Los Ujuxtes,2014.0,82%,Guatemala,6.0625
500,Danta,Chuao,2012.0,75%,Guatemala,5.5
501,Danta,Los Ujuxtes,2012.0,70%,Guatemala,7.1875
502,Danta,Sambirano,2012.0,70%,Guatemala,7.1875
503,Danta,Las Acacias E.,2012.0,70%,Guatemala,7.75
504,Danta,"Oscuro, Finca Chimelb",2012.0,70%,Guatemala,6.0625
505,Danta,Los Ujuxtes,2011.0,60%,Guatemala,6.625
506,Danta,Las Acacias E.,2009.0,75%,Guatemala,5.5
507,Danta,Las Acacias E.,2009.0,60%,Guatemala,6.0625
508,DAR,"Venezuela, batch 122",2016.0,72%,U.S.A.,4.9375
509,DAR,Vietnam,2016.0,72%,U.S.A.,5.5
510,DAR,"DUO, batch 002",2016.0,70%,U.S.A.,6.0625
511,Dark Forest,Bolivia,2016.0,75%,U.S.A.,6.0625
512,Dark Forest,Madagascar,2015.0,70%,U.S.A.,5.5
513,Dark Forest,Ocumare,2015.0,70%,U.S.A.,6.0625
514,Dark Forest,Tanzania,2015.0,70%,U.S.A.,5.5
515,Dark Forest,Ecuador,2015.0,70%,U.S.A.,6.0625
516,Davis,Ghana,2013.0,70%,U.S.A.,4.375
517,Davis,Rainforest,2013.0,70%,U.S.A.,4.9375
518,Davis,Venezuela,2013.0,70%,U.S.A.,4.9375
519,Davis,West Africa,2012.0,58%,U.S.A.,6.0625
520,De Mendes,"Nativo, Varzea",2015.0,72%,Brazil,6.625
521,De Mendes,"Selvagem, Jari",2015.0,65%,Brazil,6.625
522,De Villiers,Bundibugyo District,2016.0,70%,South Africa,4.375
523,De Villiers,"Sambirano Valley, batch 2477",2016.0,70%,South Africa,5.5
524,Dean and Deluca (Belcolade),Madagascar,2007.0,66%,U.S.A.,4.375
525,Dean and Deluca (Belcolade),Costa Rica,2007.0,64%,U.S.A.,5.5
526,Dean and Deluca (Belcolade),Ecuador,2007.0,71%,U.S.A.,5.5
527,Dean and Deluca (Belcolade),Ghana,2007.0,60%,U.S.A.,5.5
528,Dean and Deluca (Belcolade),Papua New Guinea,2007.0,64%,U.S.A.,5.5
529,Dean and Deluca (Belcolade),Peru,2007.0,64%,U.S.A.,5.5
530,Debauve & Gallais (Michel Cluizel),Papua New Guinea,2009.0,64%,France,5.5
531,Debauve & Gallais (Michel Cluizel),Venezuela,2008.0,66%,France,7.1875
532,Desbarres,"Kilombero, batch 41",2016.0,72%,Canada,4.375
533,DeVries,Bolivian,2008.0,80%,U.S.A.,4.9375
534,DeVries,Costa Rica,2007.0,77%,U.S.A.,6.625
535,DeVries,Dominican Republic,2007.0,77%,U.S.A.,6.625
536,Dick Taylor,Lanquin Estate,2017.0,70%,U.S.A.,7.1875
537,Dick Taylor,Tien Giang,2016.0,78%,U.S.A.,6.625
538,Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",2015.0,70%,U.S.A.,7.1875
539,Dick Taylor,Elvesia,2014.0,74%,U.S.A.,6.625
540,Dick Taylor,"Ecuador, Choc. Garage Exclusive",2013.0,70%,U.S.A.,6.0625
541,Dick Taylor,Camino Verde,2013.0,76%,U.S.A.,6.625
542,Dick Taylor,Bolivia,2012.0,75%,U.S.A.,4.9375
543,Dick Taylor,Belize,2012.0,72%,U.S.A.,4.9375
544,Dick Taylor,Sambirano,2011.0,80%,U.S.A.,4.9375
545,Dick Taylor,Sambirano,2011.0,72%,U.S.A.,5.5
546,Dick Taylor,Mantuano,2011.0,75%,U.S.A.,4.9375
547,Dick Taylor,La Red,2011.0,74%,U.S.A.,5.5
548,Dick Taylor,Ecuador,2011.0,70%,U.S.A.,6.0625
549,Doble & Bignall,Puerto Cabello,2015.0,85%,U.K.,5.5
550,Doble & Bignall,"Panama, Raven",2014.0,72%,U.K.,6.0625
551,Doble & Bignall,"Puerto Cabello, Mantuano",2014.0,72%,U.K.,6.0625
552,Doble & Bignall,Johe,2014.0,72%,U.K.,6.625
553,Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",2009.0,70%,U.S.A.,7.1875
554,Dolfin (Belcolade),Africa,2008.0,88%,Belgium,5.5
555,Dolfin (Belcolade),Noir,2006.0,70%,Belgium,2.125
556,Domori,Hacienda Victoria,2015.0,70%,Italy,7.1875
557,Domori,Ocumare 77,2015.0,70%,Italy,7.1875
558,Domori,"IL100, H. San Jose",2013.0,100%,Italy,5.5
559,Domori,Morogoro,2012.0,70%,Italy,6.625
560,Domori,Guasare,2012.0,70%,Italy,7.1875
561,Domori,"Canoabo, Hacienda San Jose",2011.0,70%,Italy,6.625
562,Domori,"Chuao, Hacienda San Jose",2010.0,70%,Italy,5.5
563,Domori,"Carupano, H. San Jose",2008.0,70%,Italy,5.5
564,Domori,Teyuna,2008.0,70%,Italy,5.5
565,Domori,Blend No. 1,2008.0,78%,Italy,6.625
566,Domori,Ilblend,2008.0,70%,Italy,7.1875
567,Domori,Porcelana,2007.0,70%,Italy,7.75
568,Domori,"Ocumare 61, Puertomar",2007.0,75%,Italy,6.0625
569,Domori,Granella,2007.0,60%,Italy,6.0625
570,Domori,Madagascar,2007.0,70%,Italy,6.625
571,Domori,Madagared,2007.0,70%,Italy,6.625
572,Domori,"Java, Javablond",2007.0,70%,Italy,7.1875
573,Domori,Ecuador,2007.0,70%,Italy,7.75
574,Domori,"Ocumare 67, Puertofino",2007.0,70%,Italy,7.75
575,Domori,Sur del Lago Classificado,2006.0,70%,Italy,5.5
576,Domori,Apurimac,2006.0,70%,Italy,6.0625
577,Domori,Carenero Superior,2006.0,70%,Italy,6.625
578,Dormouse,Non Pariel Estate,2016.0,75%,U.K.,4.9375
579,Dormouse,"Rio Caribe, Batch 7",2015.0,70%,U.K.,4.375
580,Dormouse,"Colombia, Batch 9",2015.0,80%,U.K.,4.9375
581,Dormouse,"Madagascar, Batch 8",2015.0,77%,U.K.,4.9375
582,Duffy's,"Rio Dulce, Xoco",2015.0,70%,U.K.,7.75
583,Duffy's,"Chuno, Xoco",2014.0,70%,U.K.,6.625
584,Duffy's,"Rico Rugoso, Xoco",2014.0,76%,U.K.,7.1875
585,Duffy's,Ocumare,2012.0,72%,U.K.,7.1875
586,Duffy's,"Indio Rojo, Xoco",2011.0,72%,U.K.,7.1875
587,Duffy's,Dominican Republic,2011.0,65%,U.K.,6.625
588,Duffy's,"Bocas del Toro, Tierra Oscura",2011.0,72%,U.K.,5.5
589,Duffy's,"Nicaliso, Xoco",2011.0,71%,U.K.,6.0625
590,Duffy's,Ocumare,2011.0,71%,U.K.,6.625
591,Duffy's,Panama,2010.0,70%,U.K.,6.625
592,Duffy's,"Corazon del Ecuador, Calceta beans",2010.0,72%,U.K.,7.1875
593,Duffy's,Star of Ecuador,2010.0,70%,U.K.,4.375
594,Duffy's,Star of Peru,2010.0,70%,U.K.,7.1875
595,Dulcinea,Dominican Republic,2015.0,70%,U.S.A.,6.0625
596,Durand,Madagascar,2012.0,82%,France,4.9375
597,Durci,"Maranon, Joya Rara",2015.0,70%,U.S.A.,6.625
598,Durci,"Rio Caribe, Tepui Treasure",2015.0,70%,U.S.A.,6.625
599,Durci,Taino Secret,2015.0,70%,U.S.A.,6.0625
600,Durci,"Carenero, Empyrean Sabor",2015.0,70%,U.S.A.,6.0625
601,Durci,Corona Arriba,2015.0,70%,U.S.A.,7.75
602,East Van Roasters,Peru,2014.0,70%,Canada,6.0625
603,East Van Roasters,Madagascar,2014.0,70%,Canada,6.625
604,East Van Roasters,Dominican Republic,2014.0,70%,Canada,7.1875
605,Eau de Rose,Tumaco,2016.0,70%,Canada,6.0625
606,Eau de Rose,Arauca,2016.0,70%,Canada,6.0625
607,Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",2012.0,72%,U.S.A.,4.9375
608,Edelmond,Porcelana,2016.0,68%,Germany,5.5
609,El Ceibo,"Alto Beni, Covendo Region",2011.0,75%,Bolivia,7.1875
610,El Ceibo,Alto Beni,2008.0,71%,Bolivia,4.9375
611,El Rey,San Joaquin,2015.0,70%,Venezuela,7.1875
612,El Rey,"Rio Caribe, Cariaco",2009.0,60.50%,Venezuela,4.9375
613,El Rey,"Rio Caribe, Macuro",2009.0,70%,Venezuela,5.5
614,El Rey,"Carenero Superior, Apamate",2008.0,74%,Venezuela,4.375
615,El Rey,"Carenero Superior, Bucare",2008.0,58%,Venezuela,4.375
616,El Rey,"Carenero Superior, Mijao",2008.0,61%,Venezuela,5.5
617,El Rey,"Carenero Superior, Gran Saman",2006.0,70%,Venezuela,4.9375
618,Emerald Estate,Emerald Estate,2013.0,60%,St. Lucia,4.9375
619,Emerald Estate,Emerald Estate,2013.0,70%,St. Lucia,6.0625
620,Emily's,Patanemo,2015.0,79%,Japan,5.5
621,Emily's,Peru,2015.0,78%,Japan,6.625
622,ENNA,"Wampusirpi, batch 007",2016.0,75%,U.S.A.,6.0625
623,Enric Rovira (Claudio Corallo),Terreiro Velho P.,2010.0,80%,Spain,6.0625
624,Erithaj (A. Morin),Ben Tre,2014.0,70%,France,6.0625
625,Erithaj (A. Morin),Ham Luong,2014.0,80%,France,5.5
626,Erithaj (A. Morin),Ba Lai,2014.0,74%,France,6.0625
627,Escazu,Rio Caribe,2012.0,70%,U.S.A.,4.9375
628,Escazu,Guapiles,2009.0,65%,U.S.A.,3.25
629,Escazu,Carenero Superior,2009.0,81%,U.S.A.,6.625
630,Escazu,"Carenero, Guapiles, Ocumare blend",2009.0,74%,U.S.A.,4.9375
631,Escazu,Ocumare,2008.0,72%,U.S.A.,5.5
632,Ethel's Artisan (Mars),"Peru, Madagascar",2011.0,55%,U.S.A.,4.375
633,Ethel's Artisan (Mars),Trinidad,2011.0,55%,U.S.A.,4.375
634,Ethel's Artisan (Mars),Porcelana,2011.0,70%,U.S.A.,4.375
635,Ethel's Artisan (Mars),Red Vanilla,2011.0,62%,U.S.A.,4.9375
636,Ethel's Artisan (Mars),"Venezuela, Trinidad",2011.0,62%,U.S.A.,4.375
637,Ethereal,Belize,2014.0,80%,U.S.A.,5.5
638,Ethereal,Ecuador,2014.0,80%,U.S.A.,6.625
639,Ethereal,Dominican Republic,2014.0,80%,U.S.A.,7.1875
640,Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",2010.0,75%,U.S.A.,4.9375
641,Feitoria Cacao,Blue Mountain,2016.0,76%,Portugal,5.5
642,Feitoria Cacao,Cuyagua,2016.0,76%,Portugal,4.375
643,Feitoria Cacao,Maya Mountain,2016.0,76%,Portugal,4.9375
644,Felchlin,Grenada,2010.0,58%,Switzerland,6.625
645,Felchlin,Supremo- SF,2006.0,62%,Switzerland,3.25
646,Felchlin,Elvesia P.,2006.0,74%,Switzerland,5.5
647,Felchlin,"Madagascar, Grand Cru",2006.0,64%,Switzerland,5.5
648,Felchlin,Maracaibo Clasificado,2006.0,65%,Switzerland,5.5
649,Felchlin,Arriba,2006.0,72%,Switzerland,6.625
650,Felchlin,"Alto Beni, Cru Savage",2006.0,68%,Switzerland,7.75
651,Finca,Puerto Rico,2014.0,65%,U.S.A.,3.8125
652,Finca,Dominican Republic,2014.0,80%,U.S.A.,5.5
653,Finca,Dominican Republic,2014.0,70%,U.S.A.,6.0625
654,Finca,Dominican Republic,2014.0,85%,U.S.A.,4.375
655,Forever Cacao,Rio Eni,2014.0,72%,U.K.,4.9375
656,Forteza (Cortes),Dominican Republic,2016.0,70%,Puerto Rico,4.9375
657,Forteza (Cortes),Puerto Rico,2016.0,80%,Puerto Rico,4.9375
658,Fossa,"Akesson's E., Sambirano V.",2016.0,70%,Singapore,4.9375
659,Fossa,"Camino Verde P., Balao, Guayas",2016.0,75%,Singapore,6.625
660,Fossa,"Kokoa Kamili Coop, Kilombero",2016.0,67%,Singapore,7.1875
661,Franceschi,Choroni,2014.0,70%,Venezuela,6.625
662,Franceschi,Ocumare,2014.0,70%,Venezuela,7.1875
663,Franceschi,Canoabo,2012.0,70%,Venezuela,7.1875
664,Franceschi,Sur del Lago,2012.0,60%,Venezuela,6.625
665,Frederic Blondeel,Costa Rica,2015.0,70%,Belgium,6.625
666,Frederic Blondeel,Peru Brutus,2015.0,75%,Belgium,6.625
667,Frederic Blondeel,Vietnam,2015.0,80%,Belgium,5.5
668,Frederic Blondeel,Ghana,2014.0,60%,Belgium,6.625
669,Frederic Blondeel,Madagascar,2014.0,65%,Belgium,6.625
670,French Broad,"Norandino, batch 161208",2017.0,70%,U.S.A.,6.625
671,French Broad,Guatemala,2015.0,73%,U.S.A.,6.625
672,French Broad,San Andres,2014.0,80%,U.S.A.,5.5
673,French Broad,Matagalpa,2014.0,68%,U.S.A.,6.0625
674,French Broad,"Palo Blanco, Chulucanas",2013.0,66%,U.S.A.,6.625
675,French Broad,Tumbes Coop,2012.0,70%,U.S.A.,4.375
676,French Broad,"Palo Blanco, Chulucanas",2012.0,61%,U.S.A.,6.625
677,French Broad,"Palo Blanco w/ panela, Chulucanas",2012.0,81%,U.S.A.,3.25
678,French Broad,"Maranon Canyon, Fortunato No. 4",2011.0,70%,U.S.A.,6.625
679,French Broad,La Red,2011.0,65%,U.S.A.,6.625
680,Fresco,"Maranon, #228, MR, SC",2014.0,70%,U.S.A.,5.5
681,Fresco,"Maranon, #227, LR, MC",2014.0,70%,U.S.A.,6.625
682,Fresco,"Maranon, #229, MR, LC",2014.0,70%,U.S.A.,6.625
683,Fresco,"Maranon, #230, DR, LC",2014.0,70%,U.S.A.,6.625
684,Fresco,"Conacado, #223, MR, SC",2013.0,72%,U.S.A.,6.0625
685,Fresco,"Conacado, #224, MR, MC",2013.0,72%,U.S.A.,7.1875
686,Fresco,"San Martin, Bellavista Coop, #226, DR, MC",2013.0,70%,U.S.A.,7.1875
687,Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",2013.0,70%,U.S.A.,7.75
688,Fresco,"Markham Valley, #219, LR, MC",2012.0,69%,U.S.A.,6.625
689,Fresco,"Markham Valley, #221, DR, MC",2012.0,69%,U.S.A.,6.625
690,Fresco,"Sambirano Valley, #216, MR, LC",2012.0,74%,U.S.A.,7.75
691,Fresco,"Markham Valley, #220, MR, MC",2012.0,69%,U.S.A.,7.75
692,Fresco,"Markham Valley, #222, LR, 0C",2012.0,69%,U.S.A.,5.5
693,Fresco,"Ghana, #211, MR, MC",2011.0,74%,U.S.A.,4.9375
694,Fresco,"Jamaica, #209, DR, SC",2011.0,70%,U.S.A.,6.0625
695,Fresco,"Conacado, #212, LR, SC",2011.0,72%,U.S.A.,6.625
696,Fresco,"Jamaica, #210, DR, MC",2011.0,70%,U.S.A.,6.625
697,Fresco,"Sambirano Valley, #214, LR, MC",2011.0,74%,U.S.A.,4.9375
698,Fresco,"Conacado, #213, DR, -C",2011.0,72%,U.S.A.,6.0625
699,Fresco,"Sambirano Valley, #215, MR, MC",2011.0,74%,U.S.A.,5.5
700,Fresco,"Chuao, #218, MR, MC",2011.0,76%,U.S.A.,6.0625
701,Fresco,"Chuao, #217, DR, MC",2011.0,70%,U.S.A.,7.75
702,Fresco,"Jamaica, #204, DR, SC",2009.0,80%,U.S.A.,4.9375
703,Fresco,"Jamaica, #206, DR, LC",2009.0,70%,U.S.A.,5.5
704,Fresco,"Jamaica, #205, DR, MC",2009.0,70%,U.S.A.,6.0625
705,Fresco,"Carenero Superior, #203, MR, SC",2009.0,65%,U.S.A.,6.625
706,Friis Holm,"Rugoso, Bad Fermentation",2016.0,70%,Denmark,6.625
707,Friis Holm (Bonnat),La Dalia,2015.0,60%,Denmark,5.5
708,Friis Holm (Bonnat),La Dalia,2015.0,85%,Denmark,6.0625
709,Friis Holm (Bonnat),La Dalia,2014.0,70%,Denmark,6.625
710,Friis Holm (Bonnat),"Barba, Xoco",2013.0,70%,Denmark,6.0625
711,Friis Holm (Bonnat),"Medagla, Xoco",2013.0,70%,Denmark,6.625
712,Friis Holm (Bonnat),"Chuno, triple turned, Xoco",2012.0,70%,Denmark,6.0625
713,Friis Holm (Bonnat),"Red Mayan, Xoco",2012.0,70%,Denmark,6.0625
714,Friis Holm (Bonnat),"Chuno, double turned, Xoco",2012.0,70%,Denmark,6.0625
715,Friis Holm (Bonnat),"Rugoso, Xoco",2012.0,70%,Denmark,7.1875
716,Friis Holm (Bonnat),"Johe, Xoco",2011.0,70%,Denmark,6.0625
717,Friis Holm (Bonnat),"Chuno, Xoco",2011.0,70%,Denmark,6.625
718,Friis Holm (Bonnat),"Nicaliso, Xoco",2011.0,70%,Denmark,6.625
719,Fruition,"Wild Bolivian, Batch 2",2016.0,74%,U.S.A.,7.1875
720,Fruition,"Coto Brus, Heirloom, Batch 1",2016.0,74%,U.S.A.,7.75
721,Fruition,Gran Couva,2014.0,70%,U.S.A.,7.1875
722,Fruition,Maranon,2014.0,76%,U.S.A.,5.5
723,Fruition,La Red,2013.0,70%,U.S.A.,7.1875
724,Fruition,Camino Verde,2013.0,75%,U.S.A.,5.5
725,Fruition,Peru,2012.0,70%,U.S.A.,4.375
726,Fruition,Signature Blend,2011.0,66%,U.S.A.,6.0625
727,Fruition,Costa Rica,2011.0,70%,U.S.A.,5.5
728,Garden Island,"Kaua'I, Alea Estate +world",2014.0,85%,U.S.A.,4.375
729,Georgia Ramon,Akesson P.,2015.0,65%,Germany,6.0625
730,Georgia Ramon,ABOCFA Coop,2015.0,70%,Germany,7.75
731,Georgia Ramon,Conacado Coop,2015.0,70%,Germany,6.625
732,Georgia Ramon,Conacado Coop,2015.0,80%,Germany,6.625
733,Georgia Ramon,Akesson P.,2015.0,75%,Germany,6.625
734,Glennmade,"Toledo District, 2015 Harvest",2016.0,70%,U.S.A.,6.625
735,Glennmade,Bahia,2015.0,66%,U.S.A.,5.5
736,Goodnow Farms,"Almendra Blanca, batch 1004",2016.0,77%,U.S.A.,4.9375
737,Goodnow Farms,"El Carmen, batch 1003",2016.0,77%,U.S.A.,6.0625
738,Goodnow Farms,"Asochivite, batch 1005",2016.0,77%,U.S.A.,6.0625
739,Grand Place,"Ben Tre, Dong Nai",2011.0,72%,Vietnam,5.5
740,Green & Black's (ICAM),Dark,2006.0,70%,U.K.,4.375
741,Green Bean to Bar,Madagascar,2016.0,70%,Japan,6.625
742,Grenada Chocolate Co.,Grenada,2010.0,82%,Grenada,6.0625
743,Grenada Chocolate Co.,Grenada,2009.0,60%,Grenada,4.9375
744,Grenada Chocolate Co.,Grenada,2008.0,71%,Grenada,4.375
745,Guido Castagna,Arriba,2009.0,64%,Italy,5.5
746,Guido Castagna,Ghana,2009.0,64%,Italy,5.5
747,Guido Castagna,Trinidad & Tobago,2009.0,64%,Italy,5.5
748,Guido Castagna,Lacri Blend,2009.0,76%,Italy,5.5
749,Guido Castagna,Blend,2009.0,64%,Italy,6.0625
750,Guittard,"Epique, Blend No. 49",2015.0,70%,U.S.A.,7.1875
751,Guittard,Haiti,2013.0,65%,U.S.A.,4.9375
752,Guittard,Nicaragua,2013.0,65%,U.S.A.,4.9375
753,Guittard,Jamaica,2013.0,65%,U.S.A.,6.0625
754,Guittard,Ecuador,2013.0,65%,U.S.A.,6.625
755,Guittard,Coucher du Soleil,2011.0,72%,U.S.A.,4.9375
756,Guittard,Lever du Soleil,2011.0,61%,U.S.A.,6.0625
757,Guittard,Onyx,2011.0,72%,U.S.A.,6.0625
758,Guittard,Trinidad,2010.0,65%,U.S.A.,5.5
759,Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",2009.0,55%,U.S.A.,5.5
760,Guittard,Nocturne,2009.0,91%,U.S.A.,5.5
761,Guittard,Complexite,2009.0,70%,U.S.A.,6.625
